"* Required Fields","* Required Fields"
"Additional Settings","Additional Settings"
"Add to Cart","Add to Cart"
"Add to cart block","Add to cart block"
"Aheadworks Extensions","Aheadworks Extensions"
"Ajax Cart Pro","Ajax Cart Pro"
"Ajax Cart Pro by aheadWorks","Ajax Cart Pro by aheadWorks"
"All products","All products"
"Based on your selection, you may be interested in the following items","Based on your selection, you may be interested in the following items"
"Can be integrated with <a href=""https://ecommerce.aheadworks.com/magento-2-extensions/automatic-related-products"">Automatic Related Products</a> and <a href=""https://ecommerce.aheadworks.com/magento-2-extensions/who-bought-this-also-bought"">Who Bougth This Also Bought</a> extensions by aheadWorks.","Can be integrated with <a href=""https://ecommerce.aheadworks.com/magento-2-extensions/automatic-related-products"">Automatic Related Products</a> and <a href=""https://ecommerce.aheadworks.com/magento-2-extensions/who-bought-this-also-bought"">Who Bougth This Also Bought</a> extensions by aheadWorks."
"Cancel","Cancel"
"Cart Subtotal","Cart Subtotal"
"Continue Shopping","Continue Shopping"
"Customize %1","Customize %1"
"Display Block For","Display Block For"
"Display Confirmation Message on Product Page","Display Confirmation Message on Product Page"
"Display Product Reviews Summary","Display Product Reviews Summary"
"Display Product Short Description","Display Product Short Description"
"Display Related Products","Display Related Products"
"Go To Checkout","Go To Checkout"
"item","item"
"items","items"
"No options of this product are available.","No options of this product are available."
"Please wait...","Please wait..."
"Products with any options","Products with any options"
"Products with required options only","Products with required options only"
"View Cart","View Cart"
"Will be displayed only for desktop devices","Will be displayed only for desktop devices"
"Yes, Automatic Related Products by Aheadworks","Yes, Automatic Related Products by Aheadworks"
"Yes, Native Cross-Sells","Yes, Native Cross-Sells"
"Yes, Who Bought This Also Bought by Aheadworks","Yes, Who Bought This Also Bought by Aheadworks"
