"The Cheapest, also for Buy 1 get 1 free","The Cheapest, also for Buy 1 get 1 free"
"The Most Expensive","The Most Expensive"
"Get $Y for each $X spent","Get $Y for each $X spent"
"Percent Discount: each 2-d, 4-th, 6-th with 15% 0ff","Percent Discount: each 2-d, 4-th, 6-th with 15% 0ff"
"Fixed Discount: each 3-d, 6-th, 9-th with $15 0ff","Fixed Discount: each 3-d, 6-th, 9-th with $15 0ff"
"Fixed Price: each 5th, 10th, 15th for $49","Fixed Price: each 5th, 10th, 15th for $49"
"Percent Discount: each 1st, 3rd, 5th with 15% 0ff after 5 items added to the cart","Percent Discount: each 1st, 3rd, 5th with 15% 0ff after 5 items added to the cart"
"Fixed Discount: each 3d, 7th, 11th with $15 0ff after 5 items added to the cart","Fixed Discount: each 3d, 7th, 11th with $15 0ff after 5 items added to the cart"
"Fixed Price: each 5th, 7th, 9th for $89.99 after 5 items added to the cart","Fixed Price: each 5th, 7th, 9th for $89.99 after 5 items added to the cart"
"Fixed Price: Each 5 items for $50","Fixed Price: Each 5 items for $50"
"Percent Discount: Each 5 items with 10% off","Percent Discount: Each 5 items with 10% off"
"Percent Discount: Buy X get Y Free","Percent Discount: Buy X get Y Free"
"Fixed Discount:  Buy X get Y with $10 Off .","Fixed Discount:  Buy X get Y with $10 Off ."
"Fixed Price: Buy X get Y for $9.99","Fixed Price: Buy X get Y for $9.99"
"Percent Discount: Buy X get N of Y Free","Percent Discount: Buy X get N of Y Free"
"Fixed Discount:  Buy X get N of Y with $10 Off .","Fixed Discount:  Buy X get N of Y with $10 Off ."
"Fixed Price: Buy X get N of Y for $9.99","Fixed Price: Buy X get N of Y for $9.99"
"Percent Discount","Percent Discount"
"Fixed Discount","Fixed Discount"
"Fixed Price","Fixed Price"
"Percent discount for product set","Percent discount for product set"
"Fixed price for product set","Fixed price for product set"
"Custom Options SKU","Custom Options SKU"
"Custom Options Values","Custom Options Values"
"Amasty Extensions","Amasty Extensions"
"Special Promotions","Special Promotions"
General,General
"Skip Items with Special Price","Skip Items with Special Price"
"Skip Configurable Items when Child has Special Price","Skip Configurable Items when Child has Special Price"
"Skip Items with Tier Price","Skip Items with Tier Price"
"Check Options Values","Check Options Values"
"Each Mth product","Each Mth product"
"Calculate Discount Based On","Calculate Discount Based On"
"Price (Special Price if Set)","Price (Special Price if Set)"
"Price After Previous Discount(s)","Price After Previous Discount(s)"
"Original Price","Original Price"
"Promo Categories","Promo Categories"
"Comma separated list of the category ids","Comma separated list of the category ids"
"Promo SKU","Promo SKU"
"Comma separated list of the SKUs","Comma separated list of the SKUs"
"Number of Discounted Products (Get N)","Number of Discounted Products (Get N)"
"Max Amount of Discount","Max Amount of Discount"
"As Default","As Default"
Yes,Yes
No,No
"Skip If Discounted","Skip If Discounted"
