"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"An error occurred while deleting record(s).","An error occurred while deleting record(s)."
"Coupon Code","Coupon Code"
"Couponcode %1","Couponcode %1"
"Couponcode Information","Couponcode Information"
"Couponcode to delete was not found.","Couponcode to delete was not found."
"Couponcode","Couponcode"
"Couponcodes","Couponcodes"
"Create New Couponcode","Create New Couponcode"
"Delete Couponcode","Delete Couponcode"
"Disabled","Disabled"
"Edit Couponcode '%1'","Edit Couponcode '%1'"
"Enabled","Enabled"
"ID","ID"
"Link With Redirection","Link With Redirection"
"Link Without Redirection","Link Without Redirection"
"New Couponcode","New Couponcode"
"No. Of Views","No. Of Views"
"Please Select Couponcodes.","Please Select Couponcodes."
"Redirect URL","Redirect URL"
"Rule Name","Rule Name"
"Save Couponcode","Save Couponcode"
"Save and Continue Edit","Save and Continue Edit"
"Something went wrong while saving the Couponcode.","Something went wrong while saving the Couponcode."
"Status","Status"
"The Couponcode has been deleted.","The Couponcode has been deleted."
"The Couponcode has been saved.","The Couponcode has been saved."
"This Couponcode no longer exists.","This Couponcode no longer exists."
"Use “Link with redirection” in case of email, newsletter or any promotion.","Use “Link with redirection” in case of email, newsletter or any promotion."
"Use “Link without redirection” in case if you want to show banner in this website like “50% off” and you want customer to stay on same page when user click on it.","Use “Link without redirection” in case if you want to show banner in this website like “50% off” and you want customer to stay on same page when user click on it."
